Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Razor + unique peptides 25000am.1	Razor + unique peptides 25000am.2	Razor + unique peptides 25000am.3	Razor + unique peptides 2500am.1	Razor + unique peptides 2500am.2	Razor + unique peptides 2500am.3	Razor + unique peptides 250am.1	Razor + unique peptides 250am.2	Razor + unique peptides 250am.3	Unique peptides 25000am.1	Unique peptides 25000am.2	Unique peptides 25000am.3	Unique peptides 2500am.1	Unique peptides 2500am.2	Unique peptides 2500am.3	Unique peptides 250am.1	Unique peptides 250am.2	Unique peptides 250am.3	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	iBAQ	iBAQ 25000am.1	iBAQ 25000am.2	iBAQ 25000am.3	iBAQ 2500am.1	iBAQ 2500am.2	iBAQ 2500am.3	iBAQ 250am.1	iBAQ 250am.2	iBAQ 250am.3	LFQ intensity 25000am.1	LFQ intensity 25000am.2	LFQ intensity 25000am.3	LFQ intensity 2500am.1	LFQ intensity 2500am.2	LFQ intensity 2500am.3	LFQ intensity 250am.1	LFQ intensity 250am.2	LFQ intensity 250am.3	Potential contaminant	id	Peptide IDs	Peptide is razor	Oxidation (M) site IDs	Oxidation (M) site positions
P15559ups|NQO1_HUMAN_UPS	P15559ups|NQO1_HUMAN_UPS	7	7	7	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	1	7	7	7	5	5	6	3	3	1	0	0	0	5	5	6	3	3	1	0	0	0	25.6	25.6	30.736	273	273	0	29.467	1107800000	85215000	6086700	7406800	7090300	448050	496890	179790	0	0	0	83481000	82078000	83411000	10619000	9797800	5407100	0	0	0		41	"333;1190;1684;2970;2971;3746;5269"	"True;True;True;True;True;True;True"		
P16083ups|NQO2_HUMAN_UPS	P16083ups|NQO2_HUMAN_UPS	16	16	16	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	1	16	16	16	14	13	15	4	4	5	0	1	1	14	13	15	4	4	5	0	1	1	87.8	87.8	25.821	230	230	0	139.7	3055100000	203670000	14129000	19323000	17641000	1030800	1327300	1359100	0	164840	53720	137580000	218370000	221250000	7583600	8782900	8495500	0	1078600	459810		42	"513;1068;1155;2228;3227;3425;4007;4696;4858;5313;5314;6414;6415;6419;6447;6911"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"57;58;59"	"44;154;203"
P41159ups|LEP_HUMAN_UPS	P41159ups|LEP_HUMAN_UPS	6	6	6	P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	1	6	6	6	5	6	5	2	4	3	1	0	0	5	6	5	2	4	3	1	0	0	55.8	55.8	16.157	147	147	0	208.14	1897700000	237220000	16969000	23234000	20458000	951470	1643800	1426800	131550	0	0	154640000	157700000	157900000	6287500	14362000	13213000	965970	0	0		43	"868;2901;4289;4704;6553;6624"	"True;True;True;True;True;True"	"60;61"	"55;69"
P51965ups|UB2E1_HUMAN_UPS	P51965ups|UB2E1_HUMAN_UPS	4	4	4	P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	1	4	4	4	4	4	4	2	2	1	1	0	0	4	4	4	2	2	1	1	0	0	33.7	33.7	22.227	199	199	0	25.808	489310000	48931000	3624800	5025200	4292600	429440	462220	287060	140700	0	0	42072000	39796000	35450000	2809100	3825300	4635000	4235000	0	0		44	"909;1287;2014;6452"	"True;True;True;True"		
P55957ups|BID_HUMAN_UPS	P55957ups|BID_HUMAN_UPS	7	7	7	P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	1	7	7	7	7	7	6	3	3	4	0	0	0	7	7	6	3	3	4	0	0	0	52.8	52.8	21.994	195	195	0	208.45	1606400000	160640000	13406000	13327000	13303000	1422900	1439300	1720700	0	0	0	142420000	117900000	128190000	16361000	15788000	16720000	0	0	0		45	"844;1001;1295;2500;2645;5948;6173"	"True;True;True;True;True;True;True"	"62;63"	"97;148"
P61626ups|LYSC_HUMAN_UPS	P61626ups|LYSC_HUMAN_UPS	4	4	4	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	1	4	4	4	3	4	3	1	0	2	0	0	0	3	4	3	1	0	2	0	0	0	42.3	42.3	14.701	130	130	0	41.004	1187400000	118740000	9903800	10496000	8829300	751640	0	870700	0	0	0	111530000	93449000	86025000	7717100	0	8974200	0	0	0		46	"617;5512;5974;6709"	"True;True;True;True"		
P61769ups|B2MG_HUMAN_UPS	P61769ups|B2MG_HUMAN_UPS	3	3	3	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	1	3	3	3	3	3	3	1	0	2	0	0	0	3	3	3	1	0	2	0	0	0	42.4	42.4	11.731	99	99	0	11.508	670220000	95746000	6702700	7586200	7606500	75935	0	503590	0	0	0	52967000	46441000	49722000	1587300	0	4592400	0	0	0		47	"5391;6246;6500"	"True;True;True"		
P62937ups|PPIA_HUMAN_UPS	P62937ups|PPIA_HUMAN_UPS	10	9	9	P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	1	10	9	9	7	7	8	0	0	2	0	0	0	7	7	8	0	0	2	0	0	0	46.5	46.5	20.176	185	185	0	16.297	923630000	61575000	4517300	5883700	5521600	0	0	184650	0	0	0	62353000	68326000	70578000	0	0	2616700	0	0	0		48	"1201;1627;2297;2315;2805;3036;3245;5738;6585;6586"	"True;True;True;False;True;True;True;True;True;True"	"64;65;66"	"81;156;162"
P62988ups|UBIQ_HUMAN_UPS	P62988ups|UBIQ_HUMAN_UPS	7	2	2	P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	1	7	2	2	1	2	1	1	1	1	0	0	0	1	2	1	1	1	1	0	0	0	26	26	10.728	96	96	0	32.845	245980000	30748000	2114500	2768700	2162100	264030	234400	229540	0	0	0	19735000	16920000	17471000	2022700	1812300	1713200	0	0	0		49	"1194;1446;2296;2315;2962;5867;5923"	"False;False;True;False;False;True;False"	67	21
"P63165ups|SUMO1_HUMAN_UPS;conta|Z00002|GST_Coli"	"P63165ups|SUMO1_HUMAN_UPS;conta|Z00002|GST_Coli"	"11;9"	"11;9"	"11;9"	"P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human);conta|Z00002|GST_Coli GST Ecoli in silico translation"	2	11	11	11	9	10	7	2	2	2	1	1	0	9	10	7	2	2	2	1	1	0	30.4	30.4	38.814	336	"336;232"	0	31.418	1342900000	53716000	4042600	5003500	4265900	127750	80687	124990	69765	31080	0	116130000	98993000	86468000	749440	414600	1030500	835710	274880	0		50	"1640;1752;2646;3206;3816;4134;4369;5420;6209;6366;6953"	"True;True;True;True;True;True;True;True;True;True;True"	"68;69"	"1;69"
P63279ups|UBC9_HUMAN_UPS	P63279ups|UBC9_HUMAN_UPS	7	7	7	P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	1	7	7	7	6	5	5	1	0	1	0	0	0	6	5	5	1	0	1	0	0	0	53.8	53.8	18.007	158	158	0	30.257	528220000	75460000	6276500	6000700	6440600	135960	0	236970	0	0	0	31618000	27094000	29900000	1893600	0	1980200	0	0	0		51	"730;787;2335;3182;4326;4614;4873"	"True;True;True;True;True;True;True"	"70;71;72"	"36;39;62"
"P68871ups|HBB_HUMAN_UPS;CON__P02070;CON__Q3SX09"	P68871ups|HBB_HUMAN_UPS	"10;1;1"	"10;1;1"	"10;1;1"	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	3	10	10	10	9	10	10	2	3	2	0	1	1	9	10	10	2	3	2	0	1	1	87.7	87.7	15.867	146	"146;145;201"	0	99.813	1730400000	157310000	12416000	14982000	13595000	511030	756630	796840	0	324750	287440	130460000	123350000	122170000	3693200	6928800	6244100	0	2204200	1942900		52	"1184;1657;2324;3802;3866;5087;6341;6436;6515;6652"	"True;True;True;True;True;True;True;True;True;True"	73	55
P69905ups|HBA_HUMAN_UPS	P69905ups|HBA_HUMAN_UPS	3	1	1	P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6	10.6	15.126	141	141	0	3.0117	38183000	4772900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		53	"4302;6133;6300"	"False;False;True"	0	32
"P99999ups|CYC_HUMAN_UPS;conta|P62894|CYC_BOVIN;CON__P62894"	P99999ups|CYC_HUMAN_UPS	"6;1;1"	"6;1;1"	"6;1;1"	P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	3	6	6	6	6	6	6	2	3	3	0	1	1	6	6	6	2	3	3	0	1	1	55.8	55.8	11.617	104	"104;105;105"	0	62.062	543840000	77691000	5565300	6387600	7033600	418760	454120	419010	0	135150	132010	44575000	43561000	50453000	2760000	2460800	2311200	0	944610	911890		54	"71;2130;3336;4316;5803;5806"	"True;True;True;True;True;True"	74	65
Q06830ups|PRDX1_HUMAN_UPS	Q06830ups|PRDX1_HUMAN_UPS	11	11	11	Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	1	11	11	11	9	10	9	4	3	3	1	1	1	9	10	9	4	3	3	1	1	1	55.6	55.6	21.979	198	198	0	21.312	1826500000	121770000	8316400	12082000	10199000	1027300	541730	554770	145640	185430	215230	149960000	164160000	157760000	15633000	6044600	6583000	1635000	1997700	2259400		55	"63;817;2172;2460;2729;3311;4202;4860;4881;5296;5828"	"True;True;True;True;True;True;True;True;True;True;True"	75	99
Q15843ups|NEDD8_HUMAN_UPS	Q15843ups|NEDD8_HUMAN_UPS	2	2	2	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	1	2	2	2	1	2	2	0	1	0	0	0	0	1	2	2	0	1	0	0	0	0	34.6	34.6	9.0714	81	81	0	10.707	291830000	41691000	2416500	3747500	2875100	0	392400	0	0	0	0	17226000	20158000	16255000	0	4155900	0	0	0	0		56	"1229;2848"	"True;True"		
"sp|O13535|YH11B_YEAST;sp|P0CX65|YD14A_YEAST;sp|Q12316|YG13B_YEAST;sp|Q12088|YL11B_YEAST;sp|Q03855|YD11B_YEAST;sp|Q03619|YE12B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|Q04670|YM14B_YEAST;sp|P0C2I2|YD14B_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX66|YE12A_YEAST;sp|Q03856|YD11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|Q12269|YG12B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|Q04711|YM11B_YEAST;sp|Q92393|YO12B_YEAST;sp|P0CX60|YP13A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q99231|YD12B_YEAST;sp|Q04706|YM11A_YEAST;sp|P0CX59|YO12A_YEAST;sp|Q12441|YD12A_YEAST;sp|Q12485|YG12A_YEAST;sp|Q12193|YB12B_YEAST;sp|Q99337|YN12B_YEAST;sp|Q12470|YN12A_YEAST;sp|Q12112|YN11B_YEAST;sp|Q12391|YN11A_YEAST"	"sp|O13535|YH11B_YEAST;sp|P0CX65|YD14A_YEAST;sp|Q12316|YG13B_YEAST;sp|Q12088|YL11B_YEAST;sp|Q03855|YD11B_YEAST;sp|Q03619|YE12B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|Q04670|YM14B_YEAST;sp|P0C2I2|YD14B_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX66|YE12A_YEAST;sp|Q03856|YD11A_YEAST;sp|P0CX67|YG13A_YEAST;sp|Q12269|YG12B_YEAST;sp|P0C2J0|YP13B_YEAST;sp|Q04711|YM11B_YEAST;sp|Q92393|YO12B_YEAST;sp|P0CX60|YP13A_YEAST;sp|Q12217|YB12A_YEAST;sp|Q99231|YD12B_YEAST;sp|Q04706|YM11A_YEAST;sp|P0CX59|YO12A_YEAST;sp|Q12441|YD12A_YEAST;sp|Q12485|YG12A_YEAST;sp|Q12193|YB12B_YEAST;sp|Q99337|YN12B_YEAST;sp|Q12470|YN12A_YEAST"	"9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;8;8;7;7;1;1"	"9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;8;8;7;7;1;1"	"1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;0"	"sp|O13535|YH11B_YEAST Transposon Ty1-H Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-H PE=3 SV=1;sp|P0CX65|YD14A_YEAST Transposon Ty1-DR5 Gag polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S28"	30	9	9	1	8	7	9	7	8	8	9	8	8	0	0	1	0	0	0	1	0	0	8	1.3	202.81	1793	"1793;440;1755;1755;1755;1755;478;1755;1755;440;440;440;440;440;1755;1756;1755;1755;440;440;1755;440;440;440;440;1756;1749;440;1755;440"	0	142.04	3436300000	38610000	1690600	1989700	2168500	1249100	1612200	1708000	1248600	1566300	1653000	145480000	157350000	165660000	148350000	147440000	148200000	137700000	140190000	139600000		70	"209;1505;3917;4295;4879;5542;6150;6632;7104"	"True;True;True;True;True;True;True;True;True"		
"sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST"	"sp|O14455|RL36B_YEAST;sp|P05745|RL36A_YEAST"	"7;5"	"7;5"	"7;5"	"sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3;sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN"	2	7	7	7	5	4	4	6	7	5	7	7	6	5	4	4	6	7	5	7	7	6	50	50	11.135	100	"100;100"	0	19.445	3101200000	443030000	14435000	18538000	8452600	15962000	19133000	15404000	20855000	20144000	20371000	113600000	131430000	125940000	133890000	130110000	125450000	156080000	141190000	146350000		74	"288;1222;3368;5008;5795;6237;6639"	"True;True;True;True;True;True;True"	77	20
"sp|P00330|ADH1_YEAST;sp|P38113|ADH5_YEAST"	sp|P00330|ADH1_YEAST	"17;1"	"17;1"	"11;0"	sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	2	17	17	11	17	17	17	17	17	17	17	17	17	11	11	11	11	11	11	11	11	11	60.1	37.9	36.849	348	"348;351"	0	323.31	57560000000	3029500000	113860000	143920000	129520000	118010000	115950000	122240000	116660000	120580000	120540000	2197600000	2128700000	2058200000	2143800000	2145800000	2201100000	2106500000	2179100000	2198400000		82	"395;512;644;820;1085;1277;2361;2722;3962;5069;5246;5268;5278;6438;6439;6684;7059"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00358|G3P2_YEAST	sp|P00358|G3P2_YEAST	29	8	7	sp|P00358|G3P2_YEAST Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3	1	29	8	7	8	8	8	8	8	8	8	8	8	7	7	7	7	7	7	7	7	7	39.8	32.5	35.846	332	332	0	93.907	7801500000	354610000	12719000	10949000	15475000	14167000	13512000	12821000	17006000	16944000	17141000	296440000	228220000	240250000	277980000	313990000	316200000	331250000	335670000	337170000		84	"911;1482;1483;2368;2476;2477;2588;3104;3289;3370;3754;3900;3901;4118;4218;4699;5670;6075;6076;6162;6379;6461;6548;6669;6670;6688;6689;6828;6878"	"True;False;False;True;False;False;True;False;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;True;False"		
sp|P00359|G3P3_YEAST	sp|P00359|G3P3_YEAST	34	34	12	sp|P00359|G3P3_YEAST Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3	1	34	34	12	29	28	30	31	31	30	31	31	31	11	11	11	12	11	11	12	12	12	89.2	41.3	35.746	332	332	0	323.31	2,4217E+11	11008000000	424220000	522500000	486090000	420340000	432560000	447150000	447260000	456310000	438440000	9500200000	9499200000	9086900000	9188500000	9676200000	9636400000	9483800000	9637300000	9712600000		85	"913;1482;1483;2367;2476;2477;2493;2577;2591;2593;3104;3235;3236;3370;3753;3900;3901;4118;4218;4780;5670;6075;6076;6162;6378;6461;6548;6669;6670;6688;6689;6829;6830;6878"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00360|G3P1_YEAST	sp|P00360|G3P1_YEAST	24	12	12	sp|P00360|G3P1_YEAST Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH1 PE=1 SV=3	1	24	12	12	10	11	11	11	9	12	12	11	12	10	11	11	11	9	12	12	11	12	33.7	33.7	35.75	332	332	0	61.336	5777700000	262620000	9665100	11808000	10446000	9810300	9553800	11105000	11199000	10593000	11789000	216700000	234800000	213440000	253520000	246190000	245080000	265370000	252560000	277760000		86	"794;912;1107;1108;2476;2477;2492;2574;2591;2592;2641;3104;3734;4118;5670;6075;6076;6379;6461;6548;6663;6664;6878;6975"	"True;True;True;True;False;False;True;True;False;True;True;False;True;False;False;False;False;False;False;False;True;True;False;True"	81	173
sp|P00445|SODC_YEAST	sp|P00445|SODC_YEAST	10	10	10	sp|P00445|SODC_YEAST Superoxide dismutase [Cu-Zn] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOD1 PE=1 SV=2	1	10	10	10	10	9	9	9	9	10	10	10	10	10	9	9	9	9	10	10	10	10	72.1	72.1	15.854	154	154	0	85.504	18932000000	1577600000	57234000	79717000	71863000	62107000	57787000	63421000	61422000	64112000	64548000	764540000	875810000	844770000	813060000	787590000	814390000	776500000	800840000	793660000		92	"1645;1998;2540;3338;3706;5591;5592;5800;5821;6552"	"True;True;True;True;True;True;True;True;True;True"		
sp|P00447|SODM_YEAST	sp|P00447|SODM_YEAST	6	6	6	sp|P00447|SODM_YEAST Superoxide dismutase [Mn], mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOD2 PE=1 SV=1	1	6	6	6	5	6	6	5	5	6	6	6	6	5	6	6	5	5	6	6	6	6	51.5	51.5	25.774	233	233	0	69.937	4267900000	387990000	15692000	17012000	15423000	13298000	13818000	15985000	15302000	17890000	17116000	184680000	154830000	161330000	172960000	188820000	188750000	196830000	210660000	196080000		93	"276;1700;3417;3522;6630;6761"	"True;True;True;True;True;True"		
"sp|P00549|KPYK1_YEAST;sp|P52489|KPYK2_YEAST"	sp|P00549|KPYK1_YEAST	"45;3"	"45;3"	"45;3"	sp|P00549|KPYK1_YEAST Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2	2	45	45	45	43	41	41	41	44	44	45	44	44	43	41	41	41	44	44	45	44	44	86.4	86.4	54.544	500	"500;506"	0	323.31	1,8342E+11	5558100000	210120000	254810000	236260000	217830000	215950000	220750000	222320000	228320000	233850000	7366600000	7330600000	7230400000	7715500000	7716000000	7780000000	7394600000	7682600000	7979400000		96	"54;129;167;193;248;282;1395;1511;1863;2008;2009;2016;2246;2355;2356;2378;2379;2676;2816;2897;2909;3159;3218;3320;3321;4136;4137;4338;4420;4499;4768;4789;4791;5033;5145;5394;5395;5657;5812;5813;5960;5961;6029;6619;7054"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00560|PGK_YEAST	sp|P00560|PGK_YEAST	34	34	34	sp|P00560|PGK_YEAST Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2	1	34	34	34	31	32	31	33	33	33	33	34	33	31	32	31	33	33	33	33	34	33	79.3	79.3	44.738	416	416	0	323.31	1,1358E+11	3663900000	139860000	174400000	157150000	143420000	145730000	149620000	146840000	148800000	152090000	4497800000	4461100000	4498300000	4831000000	4740500000	4822000000	4713500000	4719900000	4733900000		97	"27;165;213;284;311;339;479;1024;1193;1336;1337;1344;1847;2353;2441;2975;3001;3061;3264;3356;3566;4102;4753;5467;5872;6114;6151;6210;6211;6432;6949;7061;7097;7109"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00817|IPYR_YEAST	sp|P00817|IPYR_YEAST	13	13	13	sp|P00817|IPYR_YEAST Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IPP1 PE=1 SV=4	1	13	13	13	11	9	11	11	10	12	12	12	12	11	9	11	11	10	12	12	12	12	50.2	50.2	32.299	287	287	0	323.31	10323000000	516150000	19434000	22785000	21301000	20307000	19478000	20951000	20286000	21497000	21827000	417580000	404780000	405130000	461910000	444600000	462580000	450300000	467730000	465230000		103	"326;534;575;1158;2121;2933;3131;3542;3543;6348;6771;6836;6914"	"True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00830|ATPB_YEAST	sp|P00830|ATPB_YEAST	20	20	20	sp|P00830|ATPB_YEAST ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP2 PE=1 SV=2	1	20	20	20	20	17	18	18	15	18	16	18	18	20	17	18	18	15	18	16	18	18	60.5	60.5	54.793	511	511	0	323.31	11472000000	395590000	15214000	18313000	16929000	16209000	15204000	16363000	15830000	16317000	16873000	465720000	491180000	466310000	511940000	514950000	514240000	498690000	508770000	514030000		104	"732;1466;1776;1891;2141;2734;2803;3231;3747;3767;4183;5360;5827;6086;6165;6166;6426;6555;6665;6872"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00890|CISY1_YEAST	sp|P00890|CISY1_YEAST	18	18	18	sp|P00890|CISY1_YEAST Citrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIT1 PE=1 SV=2	1	18	18	18	17	16	15	17	17	17	17	18	18	17	16	15	17	17	17	17	18	18	42.8	42.8	53.359	479	479	0	226.04	13675000000	525960000	21700000	22725000	21558000	19944000	19836000	20780000	20530000	19700000	23381000	567040000	581480000	578490000	611380000	621690000	598030000	580980000	568390000	594360000		105	"110;242;363;412;747;1339;1564;2021;2219;2453;3054;4216;4551;4552;5154;6093;6704;7013"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00924|ENO1_YEAST	sp|P00924|ENO1_YEAST	30	12	12	sp|P00924|ENO1_YEAST Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO1 PE=1 SV=3	1	30	12	12	12	12	11	11	11	11	12	12	12	12	12	11	11	11	11	12	12	12	32.7	32.7	46.816	437	437	0	323.31	17859000000	637810000	24373000	29129000	26252000	23392000	22800000	24402000	24777000	25497000	26676000	727550000	656530000	684320000	690070000	674850000	696210000	734620000	749400000	771300000		107	"6;43;768;770;2239;2369;2498;2586;2587;2661;2732;2733;2744;3145;3606;3924;4709;4999;5039;5041;5205;5285;5641;5739;6512;6794;6865;6868;6920;7038"	"False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;False;True;True;False;False;False;False;True;True;False;True;False;True;False;False"		
sp|P00925|ENO2_YEAST	sp|P00925|ENO2_YEAST	34	34	16	sp|P00925|ENO2_YEAST Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2	1	34	34	16	33	34	33	32	32	33	34	33	34	16	16	16	15	14	15	16	15	16	74.4	41.4	46.914	437	437	0	323.31	2,0023E+11	7416100000	277730000	353330000	314170000	287650000	295020000	304110000	292250000	311310000	269080000	7997200000	7660500000	7595700000	7989000000	8110000000	8316000000	7965900000	8220300000	8272000000		108	"6;44;560;608;609;768;769;2239;2377;2586;2587;2659;2660;2732;2733;2744;3145;3607;3924;4711;5039;5041;5205;5285;5286;5640;5740;6512;6795;6865;6866;6867;6920;7038"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00931|TRP_YEAST	sp|P00931|TRP_YEAST	16	16	16	sp|P00931|TRP_YEAST Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP5 PE=1 SV=1	1	16	16	16	14	13	13	13	14	14	15	15	14	14	13	13	13	14	14	15	15	14	33	33	76.625	707	707	0	298.9	4629900000	110230000	4200700	4588600	4300200	4381300	4325700	4343800	4945000	5072600	4788300	201760000	179260000	177580000	218560000	203920000	203760000	215920000	216240000	203810000		109	"733;1671;1939;2007;2048;2750;2918;3113;3809;3849;4311;4450;4702;4988;6068;6474"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00942|TPIS_YEAST	sp|P00942|TPIS_YEAST	18	18	18	sp|P00942|TPIS_YEAST Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPI1 PE=1 SV=2	1	18	18	18	16	16	16	18	18	18	18	18	17	16	16	16	18	18	18	18	18	17	89.1	89.1	26.795	248	248	0	323.31	45938000000	3533700000	133820000	169410000	151380000	144870000	142570000	141740000	134590000	142880000	140560000	1880800000	1878200000	1856700000	1938900000	1949000000	2040700000	1663500000	1741500000	1802200000		111	"85;487;488;824;1034;1576;1577;2888;3301;3615;3935;4907;5031;5606;5607;5753;5895;6816"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P00950|PMG1_YEAST	sp|P00950|PMG1_YEAST	17	17	17	sp|P00950|PMG1_YEAST Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPM1 PE=1 SV=3	1	17	17	17	16	16	17	16	16	17	17	16	17	16	16	17	16	16	17	17	16	17	73.7	73.7	27.608	247	247	0	239.31	82777000000	5173500000	199460000	223340000	218110000	200060000	203940000	209490000	210760000	218020000	220640000	3536400000	3433300000	3378400000	3657500000	3650100000	3574800000	3687200000	3725700000	3741900000		112	"267;825;2467;2503;2553;3372;3830;3898;4238;4561;4786;5027;5179;6105;6744;6978;7089"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	96	178
